Id,Category
0,6
1,3
2,5
3,4
4,1
5,1
6,6
7,1
8,4
9,1
10,4
11,3
12,5
13,2
14,1
15,1
16,5
17,1
18,6
19,4
20,6
21,5
22,3
23,3
24,2
25,4
26,5
27,1
28,6
29,4
30,1
31,5
32,2
33,2
34,1
35,1
36,4
37,1
38,4
39,5
40,1
41,1
42,3
43,4
44,3
45,6
46,4
47,4
48,1
49,3
50,6
51,5
52,5
53,1
54,2
55,6
56,1
57,6
58,6
59,5
60,6
61,4
62,6
63,6
64,3
65,5
66,6
67,6
68,4
69,5
70,3
71,5
72,6
73,5
74,6
75,6
76,6
77,2
78,2
79,5
80,5
81,6
82,1
83,1
84,1
85,5
86,5
87,5
88,2
89,5
90,4
91,1
92,6
93,6
94,3
95,5
96,6
97,1
98,6
99,4
100,2
101,5
102,2
103,5
104,1
105,1
106,4
107,2
108,3
109,4
110,1
111,6
112,2
113,2
114,5
115,5
116,4
117,3
118,6
119,2
120,1
121,3
122,6
123,6
124,3
125,2
126,5
127,2
128,2
129,6
130,3
131,6
132,3
133,1
134,1
135,6
136,5
137,3
138,6
139,6
140,6
141,3
142,2
143,4
144,5
145,6
146,4
147,3
148,1
149,3
150,2
151,4
152,5
153,3
154,3
155,2
156,5
157,3
158,6
159,3
160,3
161,2
162,1
163,4
164,5
165,4
166,1
167,1
168,1
169,2
170,3
171,1
172,1
173,2
174,2
175,2
176,6
177,1
178,2
179,6
180,2
181,3
182,1
183,2
184,4
185,4
186,5
187,6
188,1
189,2
190,6
191,6
192,1
193,1
194,5
195,6
196,3
197,5
198,6
199,5
200,5
201,6
202,3
203,2
204,6
205,4
206,5
207,2
208,2
209,3
210,6
211,5
212,5
213,1
214,5
215,2
216,1
217,5
218,6
219,1
220,6
221,3
222,5
223,6
224,3
225,4
226,3
227,1
228,2
229,1
230,5
231,6
232,3
233,2
234,2
235,5
236,3
237,2
238,1
239,4
240,3
241,6
242,1
243,3
244,2
245,5
246,1
247,3
248,3
249,4
250,4
251,2
252,6
253,6
254,5
255,4
