Id,Category
0,1
1,1
2,6
3,4
4,6
5,6
6,1
7,2
8,5
9,2
10,6
11,3
12,2
13,5
14,5
15,1
16,1
17,6
18,6
19,6
20,3
21,2
22,3
23,2
24,4
25,1
26,1
27,4
28,6
29,4
30,1
31,3
32,6
33,5
34,4
35,2
36,6
37,5
38,6
39,4
40,1
41,2
42,5
43,2
44,5
45,4
46,5
47,5
48,5
49,4
50,6
51,3
52,4
53,3
54,6
55,2
56,1
57,5
58,4
59,4
60,3
61,2
62,1
63,2
64,4
65,1
66,6
67,4
68,6
69,5
70,6
71,5
72,1
73,2
74,1
75,6
76,6
77,5
78,2
79,3
80,2
81,5
82,3
83,6
84,6
85,6
86,6
87,6
88,6
89,5
90,1
91,2
92,4
93,6
94,1
95,3
96,5
97,6
98,2
99,4
100,3
101,5
102,5
103,1
104,3
105,5
106,6
107,4
108,5
109,6
110,4
111,6
112,6
113,2
114,5
115,4
116,5
117,4
118,4
119,4
120,1
121,3
122,5
123,4
124,5
125,6
126,6
127,5
128,5
129,3
130,4
131,1
132,4
133,6
134,5
135,4
136,6
137,6
138,1
139,2
140,5
141,2
142,4
143,6
144,4
145,6
146,3
147,6
148,5
149,5
150,4
151,6
152,6
153,1
154,6
155,4
156,2
157,4
158,6
159,3
160,6
161,5
162,6
163,2
164,3
165,4
166,2
167,2
168,4
169,4
170,3
171,1
172,5
173,6
174,6
175,3
176,1
177,5
178,4
179,5
180,5
181,4
182,6
183,4
184,6
185,5
186,3
187,2
188,1
189,5
190,3
191,1
192,1
193,3
194,2
195,3
196,2
197,5
198,4
199,4
200,6
201,2
202,5
203,2
204,2
205,2
206,3
207,6
208,3
209,4
210,5
211,3
212,2
213,3
214,2
215,3
216,6
217,6
218,2
219,3
220,4
221,6
222,6
223,4
224,1
225,2
226,6
227,1
228,5
229,1
230,1
231,6
232,6
233,5
234,5
235,3
236,3
237,2
238,4
239,2
240,4
241,6
242,4
243,2
244,4
245,3
246,1
247,5
248,1
249,6
250,1
251,1
252,4
253,6
254,4
255,5
256,6
257,2
258,5
259,5
260,4
261,2
262,1
263,6
264,6
265,2
266,2
267,5
268,5
269,1
270,5
271,1
272,4
273,5
274,1
275,5
276,5
277,1
278,4
279,4
280,1
281,6
282,5
283,5
284,5
285,6
286,6
287,4
288,1
289,1
290,4
291,6
292,2
293,4
294,3
295,3
296,5
297,4
298,6
299,6
300,4
301,6
302,5
303,4
304,6
305,5
306,4
307,4
308,1
309,4
310,1
311,3
312,3
313,1
314,1
315,2
316,6
317,4
318,5
319,4
320,5
321,6
322,2
323,6
324,3
325,1
326,4
327,6
328,6
329,5
330,4
331,5
332,1
333,5
334,6
335,1
336,2
337,1
338,1
339,2
340,5
341,5
342,3
343,4
344,6
345,6
346,2
347,5
348,5
349,6
350,2
351,4
352,2
353,6
354,6
355,3
356,3
357,3
358,5
359,3
360,2
361,3
362,2
363,6
364,1
365,2
366,6
367,1
368,2
369,4
370,2
371,6
372,3
373,6
374,3
375,5
376,6
377,6
378,5
379,3
380,2
381,6
382,1
383,6
384,4
385,5
386,5
387,6
388,5
389,5
390,6
391,2
392,5
393,2
394,3
395,1
396,6
397,5
398,6
399,1
400,2
401,2
402,2
403,6
404,6
405,1
406,6
407,5
408,5
409,3
410,4
411,2
412,6
413,6
414,3
415,5
416,4
417,1
418,3
419,2
420,2
421,6
422,6
423,6
424,1
425,6
426,1
427,3
428,2
429,3
430,2
431,2
432,1
433,6
434,5
435,2
436,4
437,1
438,4
439,1
440,2
441,3
442,5
443,5
444,6
445,1
446,4
447,3
448,4
449,1
450,6
451,4
452,2
453,3
454,1
455,2
456,4
457,3
458,3
459,1
460,5
461,1
462,5
463,2
464,6
465,6
466,6
467,1
468,1
469,5
470,6
471,4
472,3
473,2
474,4
475,4
476,6
477,5
478,6
479,3
480,5
481,2
482,5
483,2
484,3
485,3
486,5
487,6
488,6
489,5
490,5
491,3
492,3
493,3
494,2
495,6
496,3
497,3
498,1
499,3
500,5
501,5
502,1
503,4
504,3
505,5
506,6
507,4
508,1
509,3
510,1
511,3
512,5
513,4
514,1
515,1
516,3
517,5
518,1
519,4
520,5
521,6
522,4
523,6
524,5
525,6
526,1
527,6
528,3
529,5
530,2
531,6
532,5
533,6
534,6
535,1
536,6
537,1
538,6
539,4
540,4
541,4
542,1
543,1
544,3
545,1
546,3
547,1
548,2
549,1
550,4
551,6
552,5
553,2
554,2
555,1
556,4
557,3
558,6
559,4
560,2
561,6
562,1
563,3
564,3
565,2
566,2
567,4
568,3
569,2
570,1
571,1
572,6
573,5
574,5
575,5
576,6
577,3
578,4
579,3
580,3
581,4
582,2
583,1
584,4
585,4
586,1
587,1
588,6
589,5
590,2
591,2
592,6
593,5
594,6
595,5
596,6
597,6
598,3
599,4
600,1
601,3
602,4
603,4
604,5
605,2
606,3
607,6
608,6
609,6
610,1
611,1
612,1
613,2
614,3
615,2
616,1
617,2
618,1
619,3
620,4
621,5
622,4
623,6
624,6
625,5
626,5
627,5
628,2
629,6
630,4
631,2
632,3
633,6
634,5
635,1
636,5
637,5
638,6
639,6
640,2
641,4
642,6
643,6
644,4
645,3
646,4
647,3
648,1
649,1
650,2
651,2
652,4
653,2
654,5
655,1
656,4
657,2
658,3
659,3
660,5
661,5
662,2
663,2
664,1
665,4
666,6
667,1
668,6
669,6
670,4
671,5
672,5
673,3
674,3
675,1
676,5
677,1
678,4
679,2
680,4
681,6
682,4
683,5
684,6
685,5
686,6
687,3
688,1
689,1
690,5
691,3
692,4
693,4
694,6
695,1
696,3
697,1
698,2
699,5
700,1
701,6
702,2
703,5
704,6
705,5
706,6
707,1
708,1
709,4
710,4
711,4
712,6
713,3
714,2
715,2
716,3
717,4
718,3
719,1
720,2
721,1
722,2
723,5
724,5
725,4
726,2
727,1
728,1
729,2
730,5
731,3
732,3
733,4
734,5
735,1
736,4
737,4
738,6
739,1
740,6
741,6
742,2
743,4
744,3
745,3
746,3
747,2
748,6
749,1
750,2
751,6
752,1
753,3
754,5
755,5
756,1
757,2
758,3
759,2
760,5
761,2
762,1
763,5
764,5
765,4
766,6
767,3
768,1
769,6
770,4
771,1
772,1
773,6
774,2
775,4
776,6
777,6
778,4
779,1
780,5
781,3
782,6
783,2
784,3
785,1
786,3
787,5
788,6
789,1
790,5
791,1
792,5
793,1
794,5
795,3
796,5
797,3
798,4
799,2
800,1
801,2
802,5
803,2
804,5
805,4
806,5
807,1
808,2
809,5
810,1
811,2
